Model,Vars
fit0,HI_MAX
fit1,HI_MAX + over65PCT + under5PCT
fit2,HI_MAX + BlackPCT + HispanicPCT
fit3,HI_MAX + NOACPCT + disabledPCT + alonePCT + povertyPCT
fit4,HI_MAX + over65PCT + under5PCT + BlackPCT + HispanicPCT
fit5,HI_MAX + over65PCT + under5PCT + NOACPCT + disabledPCT + alonePCT + povertyPCT
fit6,HI_MAX + BlackPCT + HispanicPCT + NOACPCT  + disabledPCT + alonePCT + povertyPCT
fit7,HI_MAX + over65PCT + under5PCT + BlackPCT + HispanicPCT + NOACPCT + disabledPCT + alonePCT + povertyPCT
fit8,(HI_MAX + over65PCT + under5PCT)^2
fit9,(HI_MAX + BlackPCT + HispanicPCT)^2
fit10,(HI_MAX + NOACPCT + disabledPCT + alonePCT + povertyPCT)^2
fit11,(HI_MAX + over65PCT + under5PCT + BlackPCT + HispanicPCT)^2
fit12,(HI_MAX + over65PCT + under5PCT + NOACPT + disabledPCT + alonePCT + povertyPCT)^2
fit13,(HI_MAX + BlackPCT + HispanicPCT + NOACPCT  + disabledPCT + alonePCT + povertyPCT)^2
fit14,(HI_MAX + over65PCT + under5PCT + BlackPCT + HispanicPCT + NOACPCT + disabledPCT + alonePCT + povertyPCT)^2
